,rxns_added
0,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
1,OCTDPtmt: octdp_m <=> octdp_c
2,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
3,QMO2: 2.0 o2_c + q8h2_c --> 2.0 h_c + 2.0 o2s_c + q8_c
4,QULNS_1: dhap_c + iasp_c --> 2.0 h2o_c + h_c + pi_c + quln_c
5,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
6,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
7,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
8,RTOTALFATPc: Rtotal_e + atp_c + coa_c --> Rtotalcoa_c + amp_c + ppi_c
9,ASPOcm_1: asp__L_c + fad_m --> fadh2_m + iasp_c
10,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
11,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
12,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
13,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
14,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
15,CO2tmt: co2_m <=> co2_c
16,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
17,34HPLtm: 34hpl_c + h_c --> 34hpl_m + h_m
18,RBFSb_1: 2.0 dmlz_c --> 4r5au_c + h_c + ribflv_c
19,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
20,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
21,MI3PP: h2o_c + mi3p__D_c --> inost_c + pi_c
22,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
23,DHQS: 2dda7p_c --> 3dhq_c + pi_c
24,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
25,ASPO2: asp__L_c + nad_c --> 2.0 h_c + iasp_c + nadh_c
26,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
27,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
28,PHEMEtm: pheme_m <=> pheme_c
